name,href
Almonds R Nuts,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=AC3460D8A536A2C888257C780076A6EA
"Aln Donuts, Inc Dba Dunkin Donuts",/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=9A9B43E4CAA41B4A88257C780076B33F
Aloft Beachwood Hotel,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=F453BF2B86A697B485257F56006DC2E4
Aloft Cleveland Airport,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=D9C68206B3BEE2A38525802000656C3A
Altenheim,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=A4AA81056C1ECF67852580D5005D604F
Altercare at Saint Joseph Center Inc,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=2F24C91F7F5FC7E285257DF100494640
"Altercare of Mayfield Village, Inv",/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=1524C9875041773D852580E30022622A
Aluminum Line Products,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=D402B2458F60733185257FAF0050DC6D
Am Food Mart,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=D3782EA9695DF84A88257C780076B58E
Amac Enterprise,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=C8E47C0A8A1BAB5288257C780076B298
Amac Enterprise,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=F65E94BCC25AAFBD852580D5004ED97F
Amawi Food,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=14DA9A117119811A88257C780076A9A7
"Amawi One, Llc/Marathon",/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=9A123F78DF3E41CF88257C780076A809
Amazing Wok,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=D278EFEF48B5128488257C780076A9D0
Amazing Wok II,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=B705B52ACBF73CD588257C780076B69A
Amber's Caberet,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=8C13F2B20460898D88257C780076A80D
Ambrosi's Pizza,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=D0EDD3DF0E5E8D0C852580DB005C318B
Amc Theatres Ridge Park Sq 8,/Clients/Ohio/Cuyahoga/Cuyahoga_Web_Live.nsf/Food-FacilityHistory?OpenView&RestrictToCategory=AF7856B9F16BA5D588257C780076A882
